TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Injury),2020,2,14,5,46,8XX DAVIE ST,Central Business District,495006,5002764
Vehicle Collision or Pedestrian Struck (with Injury),2008,7,10,5,46,8XX BLOCK W 12TH AVE,Fairview,491849,5155570
Vehicle Collision or Pedestrian Struck (with Injury),2006,1,22,5,46,9XX BLOCK TERMINAL AVE,Strathcona,492782,5431266
Vehicle Collision or Pedestrian Struck (with Injury),2004,4,12,5,45,91XX BLOCK STANLEY PARK DR,Stanley Park,494093,5193118
Break and Enter Commercial,2019,4,22,5,45,20XX NELSON ST,West End,492320,5421175
Theft from Vehicle,2017,4,10,5,45,13XX W 14TH AVE,Fairview,493981,5458672
Break and Enter Commercial,2012,5,1,5,45,10XX BROUGHTON ST,West End,510012,5250623
Vehicle Collision or Pedestrian Struck (with Fatality),2006,1,17,5,45,QUEBEC ST / NATIONAL AVE,Central Business District,490553,5072987
Break and Enter Commercial,2011,7,14,5,45,20XX DUNDAS ST,Grandview-Woodland,500567,5034976
Break and Enter Commercial,2020,2,9,5,44,17XX W 75TH AVE,Marpole,505381,5432734
Mischief,2019,11,9,5,44,10XX BURNABY ST,West End,500288,5264751
Other Theft,2011,11,4,5,42,13XX MAIN ST,Central Business District,496019,5352755
Vehicle Collision or Pedestrian Struck (with Injury),2004,11,22,5,42,8XX BLOCK TERMINAL AVE,Strathcona,491740,5219929
Vehicle Collision or Pedestrian Struck (with Fatality),2016,10,2,5,41,34XX BLOCK E HASTINGS ST,Hastings-Sunrise,498030,5184136
Mischief,2006,7,19,5,40,19XX W 4TH AVE,Kitsilano,503681,5277630
Other Theft,2010,5,2,5,40,14XX COMMERCIAL DR,Grandview-Woodland,491286,5047631
Break and Enter Commercial,2006,5,27,5,40,20XX COMMERCIAL DR,Grandview-Woodland,492942,5406462
Break and Enter Residential/Other,2014,10,27,5,39,11XX BURNABY ST,West End,497075,5282671
Break and Enter Commercial,2015,8,14,5,39,6X E CORDOVA ST,Central Business District,491001,5250083
Mischief,2006,4,29,5,38,10XX BURRARD ST,West End,505425,5004862
Vehicle Collision or Pedestrian Struck (with Injury),2005,12,30,5,38,9XX BLOCK SEYMOUR ST,Central Business District,510476,5353863
Break and Enter Commercial,2017,8,22,5,37,20XX W 10TH AVE,Kitsilano,495653,5434666
Vehicle Collision or Pedestrian Struck (with Injury),2006,9,16,5,37,8XX HOMER ST,Central Business District,500231,5307090
Theft of Vehicle,2005,8,23,5,37,E 22ND AVE / PRINCE ALBERT ST,Kensington-Cedar Cottage,506273,5195518
Break and Enter Commercial,2010,4,30,5,36,14XX E HASTINGS ST,Grandview-Woodland,510622,5365541
Other Theft,2015,7,24,5,35,12XX GRANVILLE ST,Central Business District,507817,5201736
Break and Enter Commercial,2017,8,10,5,34,10XX BEACH AVE,Central Business District,500906,5315171
Mischief,2015,2,11,5,32,10XX BEACH AVE,West End,510273,5000380
Other Theft,2016,7,22,5,32,12XX GRANVILLE ST,Central Business District,509146,5006101
Vehicle Collision or Pedestrian Struck (with Fatality),2019,12,29,5,32,17XX BLOCK RENFREW ST,Hastings-Sunrise,499710,5268590
Break and Enter Commercial,2010,6,4,5,31,66XX MAIN ST,Sunset,502461,5250527
Break and Enter Commercial,2006,10,13,5,30,20XX MACDONALD ST,Kitsilano,492076,5063345
Break and Enter Commercial,2015,12,14,5,30,20XX W 12TH AVE,Kitsilano,507358,5316081
Theft from Vehicle,2016,9,26,5,30,13XX W 14TH AVE,Fairview,503572,5405571
Break and Enter Commercial,2015,12,5,5,30,10XX BEACH AVE,West End,509976,5435463
Break and Enter Residential/Other,2015,6,20,5,30,11XX BURRARD ST,Central Business District,505829,5015056
Other Theft,2003,5,27,5,30,12XX GRANVILLE ST,Central Business District,492041,5236537
Other Theft,2010,9,9,5,30,12XX GRANVILLE ST,Central Business District,495711,5085475
Break and Enter Residential/Other,2006,11,13,5,30,11XX BARCLAY ST,West End,510565,5058088
Mischief,2004,12,31,5,30,10XX BURRARD ST,West End,492333,5357159
Vehicle Collision or Pedestrian Struck (with Injury),2005,10,22,5,30,9XX BLOCK W 33RD AVE,South Cambie,510211,5267706
Vehicle Collision or Pedestrian Struck (with Fatality),2004,5,29,5,30,8XX BLOCK EXPO BLVD,Central Business District,504002,5296617
Break and Enter Commercial,2014,12,14,5,30,6X KEEFER PL,Central Business District,495416,5356272
Break and Enter Residential/Other,2015,10,29,5,30,11XX E PENDER ST,Strathcona,504636,5201536
Theft from Vehicle,2009,5,20,5,30,13XX VERNON DR,Strathcona,496815,5153015
Mischief,2006,8,15,5,30,19XX TURNER ST,Grandview-Woodland,492333,5317262
Break and Enter Commercial,2019,12,17,5,30,20XX PANDORA ST,Grandview-Woodland,500396,5168559
Vehicle Collision or Pedestrian Struck (with Fatality),2007,12,8,5,29,W 4TH AVE / NW MARINE DR,West Point Grey,502338,5210671
Break and Enter Commercial,2012,10,16,5,29,6X POWELL ST,Central Business District,500581,5272450
Break and Enter Commercial,2005,12,19,5,28,10XX BEACH AVE,Central Business District,497747,5042818
Mischief,2016,2,16,5,28,10XX ALBERNI ST,West End,496893,5249599
Theft from Vehicle,2003,9,8,5,28,13XX STATION ST,Strathcona,499791,5077387
Mischief,2019,4,11,5,27,19XX W 4TH AVE,Kitsilano,503389,5293500
Vehicle Collision or Pedestrian Struck (with Fatality),2011,6,25,5,27,E HASTINGS ST / JACKSON AVE,Strathcona,493485,5423586
Break and Enter Commercial,2003,3,31,5,26,14XX FRANCES ST,Grandview-Woodland,503504,5384546
Break and Enter Commercial,2003,2,8,5,26,69XX VICTORIA DR,Victoria-Fraserview,490161,5027726
Break and Enter Commercial,2004,10,5,5,24,10XX BEACH AVE,Central Business District,502888,5333714
Vehicle Collision or Pedestrian Struck (with Fatality),2013,2,8,5,24,2XX BLOCK GEORGIA VIA,Central Business District,507860,5161879
Break and Enter Residential/Other,2004,12,4,5,23,11XX CARDERO ST,West End,493085,5055986
Other Theft,2006,9,22,5,23,12XX GRANVILLE ST,Central Business District,490965,5090632
Mischief,2007,7,11,5,21,19XX W 5TH AVE,Kitsilano,491226,5080147
Other Theft,2018,12,5,5,21,12XX THURLOW ST,West End,507401,5067829
Break and Enter Commercial,2012,8,22,5,21,6X W CORDOVA ST,Central Business District,502801,5121889
Break and Enter Commercial,2006,8,18,5,20,20XX W 41ST AVE,Kerrisdale,508801,5046855
Mischief,2017,5,13,5,20,19XX W 1ST AVE,Kitsilano,503176,5001808
Break and Enter Commercial,2016,5,29,5,20,14XX E 3RD AVE,Grandview-Woodland,503320,5414929
Break and Enter Commercial,2004,3,11,5,20,20XX COMMERCIAL DR,Grandview-Woodland,507157,5246661
Break and Enter Commercial,2006,12,24,5,20,14XX COMMERCIAL DR,Grandview-Woodland,498437,5273235
Break and Enter Commercial,2019,10,4,5,19,20XX W 36TH AVE,Shaughnessy,492620,5280735
Break and Enter Commercial,2004,8,13,5,19,10XX BEACH AVE,West End,508735,5140806
Other Theft,2015,4,16,5,19,12XX GRANVILLE ST,Central Business District,495533,5002655
Break and Enter Commercial,2019,7,13,5,19,6X KEEFER PL,Central Business District,509283,5216702
Break and Enter Commercial,2015,8,23,5,19,2XX E GEORGIA ST,Strathcona,498172,5270058
Break and Enter Commercial,2019,9,29,5,19,66XX VICTORIA DR,Victoria-Fraserview,507935,5384333
Break and Enter Commercial,2013,4,10,5,18,20XX W 41ST AVE,Shaughnessy,493952,5208859
Vehicle Collision or Pedestrian Struck (with Fatality),2018,5,27,5,18,35XX BLOCK CAMBIE ST,Riley Park,500430,5014888
Break and Enter Commercial,2004,10,1,5,16,10XX BEACH AVE,Central Business District,503850,5405962
Break and Enter Commercial,2012,8,19,5,15,20XX MACDONALD ST,Kitsilano,502264,5181255
Break and Enter Commercial,2008,3,19,5,15,6X E 3RD AVE,Mount Pleasant,510635,5261357
Break and Enter Commercial,2006,11,6,5,15,2XX E BROADWAY AVE,Mount Pleasant,501724,5258197
Break and Enter Commercial,2004,9,25,5,15,2XX E GEORGIA ST,Strathcona,504003,5305155
Break and Enter Commercial,2004,2,12,5,15,2XX E GEORGIA ST,Strathcona,491775,5353383
Theft from Vehicle,2017,12,30,5,15,13XX VERNON DR,Strathcona,507678,5140634
Vehicle Collision or Pedestrian Struck (with Fatality),2003,6,22,5,15,32XX BLOCK COMMERCIAL DR,Kensington-Cedar Cottage,492690,5111811
Break and Enter Commercial,2012,3,13,5,14,20XX SCOTIA ST,Mount Pleasant,506555,5304740
Break and Enter Residential/Other,2007,7,15,5,13,11XX BURNABY ST,West End,500798,5411336
Break and Enter Commercial,2014,8,8,5,13,10XX ALBERNI ST,West End,495902,5451180
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,2,5,10,9XX BLOCK MAIN ST,Strathcona,503433,5226222
Break and Enter Commercial,2018,10,12,5,10,20XX PANDORA ST,Grandview-Woodland,510632,5196880
Break and Enter Commercial,2017,2,10,5,9,10XX BROUGHTON ST,West End,497330,5367423
Break and Enter Commercial,2008,8,31,5,8,10XX BEACH AVE,Central Business District,506834,5180571
Mischief,2007,9,16,5,7,10XX BURNABY ST,West End,508603,5374283
Break and Enter Commercial,2011,3,26,5,7,2XX E BROADWAY AVE,Mount Pleasant,495282,5149391
Break and Enter Commercial,2012,5,5,5,5,14XX CREEKSIDE DR,Fairview,499022,5212918
Other Theft,2017,6,30,5,5,12XX GRANVILLE ST,Central Business District,508221,5159355
Break and Enter Commercial,2008,7,2,5,5,10XX ALBERNI ST,West End,499285,5383153
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,14,5,5,8XX BLOCK W 10TH AVE,Fairview,496950,5142437
Theft of Bicycle,2007,5,24,5,5,E HASTINGS ST / MAIN ST,Strathcona,509591,5091232
Break and Enter Commercial,2009,3,2,5,5,14XX E 57TH AVE,Victoria-Fraserview,507411,5329601
Mischief,2006,8,15,5,5,19XX TURNER ST,Grandview-Woodland,501076,5351824
Break and Enter Commercial,2016,2,2,5,4,20XX COMOX ST,West End,491535,5418538
Mischief,2010,9,10,5,4,10XX BEACH AVE,Central Business District,509948,5157881
Mischief,2008,2,3,5,3,10XX BURNABY ST,West End,509009,5019423
Break and Enter Commercial,2015,1,27,5,3,6X E CORDOVA ST,Central Business District,506733,5244303
Break and Enter Residential/Other,2010,10,26,5,3,11XX E 59TH AVE,Sunset,492480,5016440
Break and Enter Commercial,2004,5,3,5,3,66XX VICTORIA DR,Victoria-Fraserview,490138,5430473
Break and Enter Commercial,2006,12,27,5,3,20XX KINGSWAY AVE,Kensington-Cedar Cottage,503362,5226796
Break and Enter Residential/Other,2006,6,30,5,2,11XX E 53RD AVE,Sunset,496464,5032045
Break and Enter Commercial,2003,2,18,5,1,17XX W 7TH AVE,Fairview,505235,5203970
Vehicle Collision or Pedestrian Struck (with Fatality),2018,12,27,5,1,11XX BLOCK KINGSWAY AVE,Kensington-Cedar Cottage,503721,5461311
Break and Enter Commercial,2007,9,14,5,0,20XX W 12TH AVE,Kitsilano,509615,5455491
Break and Enter Commercial,2019,3,11,5,0,20XX W 1ST AVE,Kitsilano,501612,5255658
Break and Enter Commercial,2009,10,12,5,0,14XX CREEKSIDE DR,Fairview,495257,5196312
Theft from Vehicle,2014,12,25,5,0,13XX W 14TH AVE,Fairview,503212,5255472
Mischief,2019,11,11,5,0,10XX BEACH AVE,Central Business District,501449,5164028
Break and Enter Commercial,2012,2,18,5,0,10XX BROUGHTON ST,West End,496656,5190534
Break and Enter Commercial,2016,8,11,5,0,10XX BEACH AVE,Central Business District,490759,5380970
Break and Enter Residential/Other,2016,1,15,5,0,11XX BURNABY ST,West End,508386,5002553
Theft from Vehicle,2019,5,13,5,0,13XX SEYMOUR ST,Central Business District,492470,5214558
Break and Enter Commercial,2010,6,27,5,0,10XX ALBERNI ST,West End,494460,5322607
Break and Enter Commercial,2015,11,12,5,0,6X W CORDOVA ST,Central Business District,505371,5410827
Theft of Bicycle,2005,9,10,5,0,E 5TH AVE / MAIN ST,Mount Pleasant,495031,5104746
Break and Enter Commercial,2007,5,9,5,0,2XX E CORDOVA ST,Strathcona,492282,5194487
Break and Enter Residential/Other,2009,12,1,5,0,11XX E PENDER ST,Strathcona,490576,5323907
Theft of Bicycle,2004,3,20,5,0,EARLES ST / EUCLID AVE,Renfrew-Collingwood,500369,5131848
Mischief,2013,2,3,6,58,10XX BROUGHTON ST,West End,498351,5224564
Mischief,2018,3,12,6,58,10XX BEACH AVE,Central Business District,504444,5063090
Vehicle Collision or Pedestrian Struck (with Injury),2016,12,2,6,57,9XX BLOCK SW MARINE DR,Marpole,491118,5347717
Theft of Bicycle,2012,4,4,6,56,E 27TH AVE / QUEBEC ST,Riley Park,504989,5085294
Vehicle Collision or Pedestrian Struck (with Injury),2018,5,23,6,56,ADANAC ST / CLARK DR,Strathcona,502082,5232525
Theft from Vehicle,2013,2,1,6,55,13XX W 12TH AVE,Fairview,510264,5384095
Mischief,2009,9,26,6,55,10XX BURRARD ST,West End,494740,5337360
Theft of Bicycle,2012,8,29,6,55,E HASTINGS ST / GLEN DR,Strathcona,498547,5314147
Other Theft,2015,11,2,6,54,13XX ROBSON ST,West End,490174,5291918
Vehicle Collision or Pedestrian Struck (with Injury),2013,11,15,6,54,ALBERNI ST / BUTE ST,West End,491346,5439238
Break and Enter Commercial,2007,1,9,6,54,66XX MAIN ST,Sunset,505231,5328681
Theft of Bicycle,2009,6,7,6,54,E HASTINGS ST / MAIN ST,Strathcona,499191,5139244
Other Theft,2019,8,31,6,54,13XX E 41ST AVE,Sunset,491573,5071165
Theft of Vehicle,2006,11,17,6,53,E 1ST AVE / RENFREW ST,Hastings-Sunrise,508477,5368935
Vehicle Collision or Pedestrian Struck (with Injury),2018,8,13,6,52,8XX BLOCK SW MARINE DR,Marpole,506825,5142225
Vehicle Collision or Pedestrian Struck (with Injury),2009,11,13,6,51,ALBERNI ST / BURRARD ST,Central Business District,500873,5446702
Break and Enter Commercial,2011,11,19,6,50,10XX BEACH AVE,Central Business District,502056,5372281
Break and Enter Residential/Other,2018,12,19,6,50,11XX BUTE ST,West End,510603,5199255
Other Theft,2003,10,14,6,50,12XX GRANVILLE ST,Central Business District,500322,5087494
Other Theft,2010,7,13,6,49,12XX GRANVILLE ST,Central Business District,492594,5061742
Break and Enter Commercial,2013,10,20,6,48,10XX BURNABY ST,West End,496184,5175402
Vehicle Collision or Pedestrian Struck (with Injury),2015,7,18,6,48,9XX MAINLAND ST,Central Business District,503533,5343817
Other Theft,2013,7,16,6,47,12XX GRANVILLE ST,Central Business District,503089,5412578
Other Theft,2010,9,13,6,47,12XX MAIN ST,Central Business District,494890,5378050
Break and Enter Commercial,2005,4,2,6,46,20XX E HASTINGS ST,Grandview-Woodland,497160,5097136
Break and Enter Commercial,2011,3,31,6,45,10XX BEACH AVE,Central Business District,510812,5348689
Break and Enter Residential/Other,2009,12,18,6,45,11XX BURNABY ST,West End,499578,5435407
Mischief,2018,11,7,6,45,10XX BURRARD ST,West End,497630,5193348
Mischief,2008,1,2,6,45,10XX BURRARD ST,West End,508803,5172818
Break and Enter Commercial,2004,10,5,6,45,20XX COMMERCIAL DR,Grandview-Woodland,492350,5066508
Break and Enter Commercial,2004,10,5,6,45,20XX COMMERCIAL DR,Grandview-Woodland,507937,5431171
Break and Enter Commercial,2003,10,20,6,45,20XX E HASTINGS ST,Grandview-Woodland,495639,5436247
Theft from Vehicle,2003,6,9,6,43,13XX ROBSON ST,West End,493639,5394155
Break and Enter Commercial,2008,10,28,6,43,10XX ALBERNI ST,West End,508076,5007559
Break and Enter Commercial,2011,7,5,6,43,14XX E HASTINGS ST,Grandview-Woodland,506164,5335076
Mischief,2017,6,1,6,42,10XX BEACH AVE,Central Business District,501644,5394987
Break and Enter Commercial,2009,2,20,6,42,20XX E KENT S AVE,Victoria-Fraserview,500142,5125754
Break and Enter Commercial,2005,8,23,6,40,20XX W 41ST AVE,Kerrisdale,490031,5006517
Break and Enter Commercial,2004,1,14,6,40,10XX BEACH AVE,Central Business District,490254,5409378
Theft from Vehicle,2007,10,28,6,40,13XX W 12TH AVE,Fairview,509431,5201686
Mischief,2008,9,4,6,40,10XX BEACH AVE,Central Business District,495153,5187462
Theft from Vehicle,2004,4,26,6,40,13XX ROBSON ST,West End,502250,5364820
Mischief,2003,3,11,6,40,10XX BURRARD ST,West End,494282,5280068
Mischief,2009,5,3,6,40,10XX BURRARD ST,West End,507432,5169675
Break and Enter Residential/Other,2008,4,9,6,40,11XX E 18TH AVE,Kensington-Cedar Cottage,503941,5327266
Vehicle Collision or Pedestrian Struck (with Fatality),2006,7,28,6,40,CLARK DR / N GRANDVIEW HWY,Strathcona,508213,5191740
Vehicle Collision or Pedestrian Struck (with Injury),2018,12,14,6,39,9XX BLOCK E 45TH AVE,Sunset,500337,5159807
Break and Enter Commercial,2014,4,30,6,37,6X W 2ND AVE,Mount Pleasant,494706,5173166
Vehicle Collision or Pedestrian Struck (with Injury),2008,12,12,6,36,ABBOTT ST / W HASTINGS ST,Central Business District,495792,5003268
Theft from Vehicle,2018,2,12,6,35,13XX ROBSON ST,West End,509082,5028916
Other Theft,2013,9,24,6,35,12XX GRANVILLE ST,Central Business District,506565,5401680
Break and Enter Commercial,2004,9,11,6,35,6X E 2ND AVE,Mount Pleasant,508762,5395812
Vehicle Collision or Pedestrian Struck (with Fatality),2017,4,23,6,35,COMMERCIAL DR / VICTORIA DVRS,Kensington-Cedar Cottage,495569,5246349
Break and Enter Commercial,2013,12,29,6,34,20XX PENDRELL ST,West End,505733,5105868
Mischief,2008,10,27,6,34,10XX BURRARD ST,Central Business District,510689,5024787
Break and Enter Commercial,2003,2,11,6,32,20XX W 41ST AVE,Kerrisdale,495435,5119537
Vehicle Collision or Pedestrian Struck (with Injury),2009,6,4,6,32,9XX BLOCK CLARK DR,Grandview-Woodland,507368,5307664
Break and Enter Commercial,2014,2,19,6,31,20XX MACDONALD ST,Kitsilano,493358,5086729
Mischief,2004,10,8,6,30,19XX W 62ND AVE,Kerrisdale,500767,5010296
Break and Enter Commercial,2005,1,27,6,30,14XX CREEKSIDE DR,Fairview,495755,5434539
Break and Enter Residential/Other,2004,3,27,6,30,11XX CARDERO ST,West End,507665,5283727
Theft from Vehicle,2008,2,8,6,30,13XX W 41ST AVE,Oakridge,492368,5256525
Mischief,2009,3,19,6,30,10XX BEACH AVE,West End,499351,5055949
Break and Enter Commercial,2016,10,23,6,30,10XX BROUGHTON ST,West End,494037,5282268
Break and Enter Residential/Other,2003,1,18,6,30,11XX BARCLAY ST,West End,501656,5136386
Mischief,2020,1,17,6,30,10XX BURRARD ST,West End,494079,5246546
Break and Enter Commercial,2009,3,10,6,30,10XX ALBERNI ST,West End,504183,5014193
Theft of Vehicle,2006,3,13,6,30,DUNSMUIR ST / HOMER ST,Central Business District,495565,5218921
Break and Enter Commercial,2016,10,4,6,30,66XX MAIN ST,Sunset,510329,5261142
Break and Enter Commercial,2010,1,9,6,30,2XX E BROADWAY AVE,Mount Pleasant,494480,5227689
Break and Enter Commercial,2012,3,11,6,30,20XX SCOTIA ST,Mount Pleasant,507639,5395806
Theft of Vehicle,2015,9,28,6,30,DURWARD AVE / FRASER ST,Riley Park,490101,5261399
Theft from Vehicle,2019,11,3,6,30,13XX VERNON DR,Strathcona,500478,5236346
Theft of Bicycle,2019,8,16,6,30,E 29TH AVE / NANAIMO ST,Kensington-Cedar Cottage,500410,5006625
Vehicle Collision or Pedestrian Struck (with Injury),2007,7,31,6,29,8XX BLOCK W 12TH AVE,Fairview,502351,5195171
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,28,6,29,8XX BLOCK GRIFFITHS WAY,Central Business District,510381,5433471
Break and Enter Commercial,2003,6,30,6,28,20XX MACDONALD ST,Kitsilano,491707,5290023
Other Theft,2016,2,2,6,28,12XX E HASTINGS ST,Strathcona,506810,5364914
Mischief,2004,4,9,6,27,10XX BURNABY ST,West End,510792,5388588
Break and Enter Commercial,2012,12,21,6,27,6X E 7TH AVE,Mount Pleasant,490245,5406313
Break and Enter Commercial,2003,3,12,6,27,6X E 2ND AVE,Mount Pleasant,496863,5020904
Vehicle Collision or Pedestrian Struck (with Injury),2004,12,3,6,25,9XX BLOCK E BROADWAY AVE,Mount Pleasant,503667,5376348
Mischief,2013,7,21,6,24,10XX ALBERNI ST,West End,500514,5195084
Break and Enter Commercial,2017,2,5,6,24,20XX E 48TH AVE,Victoria-Fraserview,510704,5434893
Break and Enter Commercial,2003,8,16,6,23,20XX W 41ST AVE,Kerrisdale,504113,5418498
Mischief,2019,12,26,6,23,10XX BURRARD ST,West End,509387,5409820
Other Theft,2014,2,6,6,22,12XX GRANVILLE ST,Central Business District,492300,5293227
Vehicle Collision or Pedestrian Struck (with Fatality),2005,11,29,6,22,E 49TH AVE / MAIN ST,Sunset,494489,5128643
Mischief,2018,11,4,6,21,10XX BARCLAY ST,West End,504109,5182891
Break and Enter Commercial,2006,2,3,6,21,10XX ALBERNI ST,West End,506424,5443956
Theft from Vehicle,2004,10,5,6,20,13XX W 46TH AVE,Oakridge,504028,5033377
Theft from Vehicle,2008,4,11,6,20,13XX W 15TH AVE,Fairview,505161,5181642
